actor,country,month,sovereignty,territorial_integrity,democracy,security,civilization,international_law,human_rights,rules_based
State,Ukraine,2022-05,0.07764511888863829,0.12072825110918028,0.1734161410664606,0.8549035455333703,0.009343436702888057,0.02693383511697285,0.07008634746538321,0.0
State,Ukraine,2022-06,0.06737890725696528,0.1010582237488054,0.3198042248079165,0.8772506210802342,0.02261591978150006,0.04044805026970961,0.006246525370262791,0.0
State,Ukraine,2022-07,0.034705834021937346,0.034705834021937346,0.24128754907928904,1.8875911084681738,0.028688659379613853,0.056592937174656875,0.04214023413687125,0.0
State,Ukraine,2022-08,0.17400856419433558,0.1989099374055895,0.10276371994248647,0.9998725148083966,0.0,0.09506870103426042,0.07013521016970481,0.0
State,Ukraine,2022-09,0.1998540300950473,0.3354158998692207,0.4062558674280499,2.255306699586939,0.0,0.06665936228864412,0.177335783793646,0.0
State,Ukraine,2022-10,0.1651382351268055,0.27801437220372405,0.3665820222954715,1.8669135422240304,0.0,0.14956302185372122,0.29288156663809484,0.0
State,Ukraine,2022-11,0.08808048322804282,0.31655408475559754,0.09561584675639469,1.9032046231070274,0.0,0.23246550222229495,0.05544826528435447,0.0
State,Ukraine,2022-12,0.11174270852446583,0.1685169604927582,0.1785652635137613,1.4290198124588254,0.0,0.11898140524149575,0.3831728750996155,0.0
State,Ukraine,2023-01,0.1252232085177804,0.14189051019959587,0.10182755143028215,1.2203016384457959,0.0,0.025791808521613536,0.053139256873795414,0.0
State,Ukraine,2023-02,0.040166108045456075,0.1605256062272396,0.20946690154578496,1.616380623192987,0.005755561311116867,0.08756019195721905,0.18297471162011805,0.010880978417579307
State,Ukraine,2023-03,0.18566631396954456,0.23096455913658248,0.27600197996408593,1.676741557340129,0.01517547993369161,0.2160669045822314,0.08530094437869097,0.0
State,Ukraine,2023-04,0.1660424003169732,0.10459876299368981,0.1675471802969061,1.127987173055924,0.0,0.047310403557742346,0.0715592941709968,0.0
State,Ukraine,2023-05,0.19291001917034278,0.22068773244018047,0.4021555244119353,1.7557968566923179,0.01486237441293621,0.25421429512344595,0.1817426596980932,0.02412861955010893
State,Ukraine,2023-06,0.13658426482648744,0.1501407089562636,0.27407860041413723,1.297616363095543,0.015265311107040363,0.08085372298776078,0.0793773937525198,0.016154044972861204
State,Ukraine,2023-07,0.32782845909892583,0.17161110153185033,0.02674154298703035,2.8258222897328107,0.0,0.35076775459187615,0.02674154298703035,0.0
State,Ukraine,2023-08,0.15436522298437325,0.17204681291293966,0.04839609122426408,2.232844617393228,0.0,0.19370399109956662,0.0,0.0
State,Ukraine,2023-09,0.08415973990948747,0.07618876507329242,0.11970530535549613,1.278147359695881,0.013815780384355011,0.10292561526818576,0.10744506683808004,0.039056050076866154
State,Ukraine,2023-10,0.13013666971491297,0.1626270236574741,0.208035495072125,2.2623021616909167,0.0,0.8195812557348654,0.0476573898845275,0.03367853835143555
State,Ukraine,2023-11,0.06791450104255554,0.15009718910451902,0.18389704872548496,1.7722755720993095,0.0,0.09751720168983252,0.0,0.024112654320987654
State,Ukraine,2023-12,0.0718572897041632,0.10211447578585763,0.10416442565399692,1.040789602001473,0.0,0.07257187417378694,0.0905208270471648,0.0
State,Ukraine,2024-01,0.1461353869479374,0.1461353869479374,0.1360727494699888,3.2341314363221874,0.0,0.16881032034464044,0.0,0.028228652081863093
State,Ukraine,2024-02,0.22451881388796027,0.2658926468303711,0.08441738182025317,2.5666505426838104,0.0,0.3361207346977894,0.04530113932365399,0.0
State,Ukraine,2024-03,0.22275969242063615,0.3132083176015334,0.5352083932997019,2.546994968642651,0.0,0.1318942485230723,0.09960159362549802,0.0
State,Ukraine,2024-04,0.12515983655828603,0.09238893173534499,0.2071957284059609,3.2208536120960782,0.0,0.05164850913939399,0.11805631024917396,0.0
State,Ukraine,2024-05,0.055553820106686656,0.057897534755657364,0.1031230607713722,2.510975202377258,0.0,0.12805380689411622,0.06464112531161624,0.012579882252302119
State,Ukraine,2024-06,0.1640858807958565,0.1450593229288246,0.12714289716134386,3.0372383675323125,0.0,0.09365587428183006,0.0753023170042213,0.0
State,Ukraine,2024-07,0.14781271691909073,0.16317947103532887,0.11423056439016435,2.6310217919201673,0.0,0.1388245555454693,0.02204585537918871,0.0
State,Ukraine,2024-08,0.08957748257812505,0.14675413665344045,0.11005461344726226,3.553033298239644,0.0,0.08103847345319491,0.15048854515494728,0.01163710841130196
State,Ukraine,2024-09,0.1087416110971095,0.13128558336502358,0.199535840834804,2.295301226909423,0.0,0.05599779025552306,0.22697494007150337,0.0
State,Ukraine,2024-10,0.10552515565072954,0.1639445160146926,0.19490324420326188,2.329573976858376,0.0,0.10452412821514423,0.18337319249394612,0.0
State,Ukraine,2024-11,0.1257065048737811,0.0471525790257496,0.25515943183883694,1.3770657984562806,0.0,0.057591007607887865,0.07892214580182781,0.010990460280476547
State,Ukraine,2024-12,0.10295687322943649,0.07724796309105622,0.08485142568758372,1.5410124874049522,0.012269035408436189,0.11669575608153793,0.1394570555491846,0.0
