doc_id,site,url,title,date,raw_path,clean_path,n_chars,kw_hit,sim_max
8fe9b7e50fd39088ccf0d838fd9179ceeb48d902,kremlin,http://en.kremlin.ru/events/president/news/72296,Greetings to All Russia 2023 Modern Journalism Forum • President of Russia,2023-09-19,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/8fe9b7e50fd39088ccf0d838fd9179ceeb48d902.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/8fe9b7e50fd39088ccf0d838fd9179ceeb48d902.txt,1226,True,0.43190348
52d70ae491b873e5b76d5530d4d5013dd4d9642c,kremlin,http://en.kremlin.ru/events/president/news/68523,Telephone conversation with President of France Emmanuel Macron and Federal Chancellor of Germany Olaf Scholz • President of Russia,2022-05-28,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/52d70ae491b873e5b76d5530d4d5013dd4d9642c.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/52d70ae491b873e5b76d5530d4d5013dd4d9642c.txt,2162,True,0.4312285
f15f2ff487924e2d7615362f6ff04d3649c4f3ef,kremlin,http://en.kremlin.ru/events/president/news/67917,Telephone conversation with President of Turkey Recep Tayyip Erdogan • President of Russia,2022-03-06,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/f15f2ff487924e2d7615362f6ff04d3649c4f3ef.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/f15f2ff487924e2d7615362f6ff04d3649c4f3ef.txt,2694,True,0.42971087
3d3d7b332d2edc832e92669a36daacb43fd337bc,kremlin,http://en.kremlin.ru/events/president/news/74008,Greetings to participants and guests of the 15th International Economic Forum “Russia – Islamic World: KazanForum” • President of Russia,2024-05-10,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/3d3d7b332d2edc832e92669a36daacb43fd337bc.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/3d3d7b332d2edc832e92669a36daacb43fd337bc.txt,2089,True,0.42938104
8f5c12959f3bcbe7937a8eef69367b2e0bb0d10d,kremlin,http://en.kremlin.ru/events/president/news/75191,Greetings to the Channel One Russia Worldwide Network team • President of Russia,2024-09-27,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/8f5c12959f3bcbe7937a8eef69367b2e0bb0d10d.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/8f5c12959f3bcbe7937a8eef69367b2e0bb0d10d.txt,1311,True,0.4287676
9d289fab50c6fe0a5f77f1aadb074caa0389829d,kremlin,http://en.kremlin.ru/events/president/news/70170,Vladimir Putin answered questions from journalists • President of Russia,2022-12-22,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/9d289fab50c6fe0a5f77f1aadb074caa0389829d.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/9d289fab50c6fe0a5f77f1aadb074caa0389829d.txt,35726,True,0.42862388
6ebd20da6d931ecfda19d750e3c0c5e1fb43ffd3,kremlin,http://en.kremlin.ru/events/president/news/75796,Comment by Presidential Press Secretary Dmitry Peskov • President of Russia,2024-12-08,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/6ebd20da6d931ecfda19d750e3c0c5e1fb43ffd3.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/6ebd20da6d931ecfda19d750e3c0c5e1fb43ffd3.txt,2228,True,0.42833832
e47c79d6d3357f2de0ed026f3378377e743d4519,kremlin,http://en.kremlin.ru/events/president/news/71164,Congratulations on the 70th anniversary of the public administration system for military technical cooperation with foreign states • President of Russia,2023-05-19,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/e47c79d6d3357f2de0ed026f3378377e743d4519.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/e47c79d6d3357f2de0ed026f3378377e743d4519.txt,1802,True,0.42784604
478a30a7dee8335780d210905582448e1d880a25,kremlin,http://en.kremlin.ru/events/president/news/75109,Greetings to residents of Daghestan on the 25th anniversary of defeating international terrorist groups • President of Russia,2024-09-14,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/478a30a7dee8335780d210905582448e1d880a25.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/478a30a7dee8335780d210905582448e1d880a25.txt,2262,True,0.42739543
2b95d560e90bdff0607c50ddece3876a765c01ce,kremlin,http://en.kremlin.ru/events/president/news/68522,Greeting to participants in Clean Arctic nationwide project • President of Russia,2022-05-28,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/raw/kremlin/2b95d560e90bdff0607c50ddece3876a765c01ce.html,/Users/kotaroyonemaru/Desktop/batumi/project_batumi/corpus/data/clean/kremlin/2b95d560e90bdff0607c50ddece3876a765c01ce.txt,1191,True,0.42701402
